,Unnamed: 0,Date,Rate,currency,rate,year,month,month_str
264,265,2011-07-01,{'USD': 1.451223},USD,1.451223,2011,7,July
265,266,2011-07-01,{'GBP': 0.904289},GBP,0.904289,2011,7,July
266,267,2011-07-01,{'JPY': 117.209226},JPY,117.209226,2011,7,July
267,268,2011-07-01,{'CNY': 9.382664},CNY,9.382664,2011,7,July
268,269,2012-07-01,{'USD': 1.26272},USD,1.26272,2012,7,July
269,270,2012-07-01,{'GBP': 0.806768},GBP,0.806768,2012,7,July
270,271,2012-07-01,{'JPY': 100.629008},JPY,100.629008,2012,7,July
271,272,2012-07-01,{'CNY': 8.017342},CNY,8.017342,2012,7,July
272,273,2013-07-01,{'USD': 1.305805},USD,1.305805,2013,7,July
273,274,2013-07-01,{'GBP': 0.857983},GBP,0.857983,2013,7,July
274,275,2013-07-01,{'JPY': 129.984259},JPY,129.984259,2013,7,July
275,276,2013-07-01,{'CNY': 8.021346},CNY,8.021346,2013,7,July
276,277,2014-07-01,{'USD': 1.367914},USD,1.367914,2014,7,July
277,278,2014-07-01,{'GBP': 0.797628},GBP,0.797628,2014,7,July
278,279,2014-07-01,{'JPY': 138.847122},JPY,138.847122,2014,7,July
279,280,2014-07-01,{'CNY': 8.46881},CNY,8.46881,2014,7,July
280,281,2005-08-01,{'USD': 1.220408},USD,1.220408,2005,8,August
281,282,2005-08-01,{'GBP': 0.689882},GBP,0.689882,2005,8,August
282,283,2005-08-01,{'JPY': 136.702633},JPY,136.702633,2005,8,August
283,284,2005-08-01,{'CNY': 9.890915},CNY,9.890915,2005,8,August
284,285,2006-08-01,{'USD': 1.279399},USD,1.279399,2006,8,August
285,286,2006-08-01,{'GBP': 0.683785},GBP,0.683785,2006,8,August
286,287,2006-08-01,{'JPY': 146.778398},JPY,146.778398,2006,8,August
287,288,2006-08-01,{'CNY': 10.200994},CNY,10.200994,2006,8,August
288,289,2007-08-01,{'USD': 1.366542},USD,1.366542,2007,8,August
289,290,2007-08-01,{'GBP': 0.673936},GBP,0.673936,2007,8,August
290,291,2007-08-01,{'JPY': 162.023942},JPY,162.023942,2007,8,August
291,292,2007-08-01,{'CNY': 10.343613},CNY,10.343613,2007,8,August
292,293,2008-08-01,{'USD': 1.555585},USD,1.555585,2008,8,August
293,294,2008-08-01,{'GBP': 0.787646},GBP,0.787646,2008,8,August
294,295,2008-08-01,{'JPY': 167.376072},JPY,167.376072,2008,8,August
295,296,2008-08-01,{'CNY': 10.645148},CNY,10.645148,2008,8,August
296,297,2009-08-01,{'USD': 1.419432},USD,1.419432,2009,8,August
297,298,2009-08-01,{'GBP': 0.854837},GBP,0.854837,2009,8,August
298,299,2009-08-01,{'JPY': 135.206239},JPY,135.206239,2009,8,August
299,300,2009-08-01,{'CNY': 9.696947},CNY,9.696947,2009,8,August
300,301,2010-08-01,{'USD': 1.30397},USD,1.30397,2010,8,August
301,302,2010-08-01,{'GBP': 0.83351},GBP,0.83351,2010,8,August
302,303,2010-08-01,{'JPY': 112.736245},JPY,112.736245,2010,8,August
303,304,2010-08-01,{'CNY': 8.838322},CNY,8.838322,2010,8,August
304,305,2011-08-01,{'USD': 1.426766},USD,1.426766,2011,8,August
305,306,2011-08-01,{'GBP': 0.873694},GBP,0.873694,2011,8,August
306,307,2011-08-01,{'JPY': 109.752676},JPY,109.752676,2011,8,August
307,308,2011-08-01,{'CNY': 9.180731},CNY,9.180731,2011,8,August
308,309,2012-08-01,{'USD': 1.226112},USD,1.226112,2012,8,August
309,310,2012-08-01,{'GBP': 0.786924},GBP,0.786924,2012,8,August
310,311,2012-08-01,{'JPY': 96.019314},JPY,96.019314,2012,8,August
311,312,2012-08-01,{'CNY': 7.808773},CNY,7.808773,2012,8,August
312,313,2013-08-01,{'USD': 1.321978},USD,1.321978,2013,8,August
313,314,2013-08-01,{'GBP': 0.873284},GBP,0.873284,2013,8,August
314,315,2013-08-01,{'JPY': 130.912525},JPY,130.912525,2013,8,August
315,316,2013-08-01,{'CNY': 8.118407},CNY,8.118407,2013,8,August
316,317,2014-08-01,{'USD': 1.342868},USD,1.342868,2014,8,August
317,318,2014-08-01,{'GBP': 0.798287},GBP,0.798287,2014,8,August
318,319,2014-08-01,{'JPY': 137.84671},JPY,137.84671,2014,8,August
319,320,2014-08-01,{'CNY': 8.297014},CNY,8.297014,2014,8,August
320,321,2005-09-01,{'USD': 1.24598},USD,1.24598,2005,9,Sept
321,322,2005-09-01,{'GBP': 0.683036},GBP,0.683036,2005,9,Sept
322,323,2005-09-01,{'JPY': 137.28671},JPY,137.28671,2005,9,Sept
